STATE,AvgTemp
Florida,71.5
Hawaii,70.2
Louisiana,67.2
Texas,65.8
Georgia,64.3
Mississippi,64.3
Alabama,63.7
South Carolina,63.4
Arizona,61.1
Arkansas,61.1
Oklahoma,60.4
North Carolina,59.6
California,59.1
Tennessee,58.5
Kentucky,56.4
Delaware,56.3
Virginia,56.1
Maryland,55.5
Missouri,55.3
Kansas,55.1
New Mexico,54.5
New Jersey,53.6
Illinois,52.7
West Virginia,52.7
Indiana,52.5
Ohio,51.8
Nevada,51.1
Rhode Island,50.8
Connecticut,50
Pennsylvania,49.6
Nebraska,49.5
Utah,49.3
Massachusetts,48.9
Iowa,48.4
Oregon,48
Washington,47.4
Colorado,46.3
New York,46.1
South Dakota,45.8
Michigan,45.3
New Hampshire,44.2
Idaho,44
Wisconsin,44
Vermont,43.2
Montana,42.6
Wyoming,42.3
Maine,41.9
Minnesota,41.8
North Dakota,41.1
Alaska,28.1
