GeoFips,STATE,2016,2017,2018,2019,2020,AVERAGE
11000,District of Columbia,67963,68665,68510,70457,72798,69678.6
09000,Connecticut,62026,61770,64812,66384,67496,64497.6
25000,Massachusetts,57582,58739,59922,62159,64839,60648.2
56000,Wyoming,53973,55697,60694,62295,64958,59523.4
38000,North Dakota,54593,56040,56190,55759,59552,56426.8
34000,New Jersey,53474,54004,54112,56083,58321,55198.8
36000,New York,51917,54127,54764,56039,58675,55104.4
46000,South Dakota,53025,54092,52815,54869,60137,54987.6
33000,New Hampshire,51900,52214,54265,56718,58774,54774.2
27000,Minnesota,52063,53003,52459,53908,57437,53774
24000,Maryland,51896,52333,52690,54016,55709,53328.8
31000,Nebraska,51813,52811,52348,53464,56057,53298.6
02000,Alaska,51547,51509,52783,54361,56198,53279.6
08000,Colorado,49298,50715,54000,55293,56792,53219.6
53000,Washington,50413,50375,51994,54161,57175,52823.6
17000,Illinois,50167,50428,52025,53512,55766,52379.6
51000,Virginia,49750,51129,51315,53768,55519,52296.2
06000,California,50137,50129,50864,53319,56973,52284.4
42000,Pennsylvania,50343,50002,51879,52933,56014,52234.2
20000,Kansas,49164,50212,50721,51956,54766,51363.8
55000,Wisconsin,48537,49276,50128,51026,54492,50691.8
19000,Iowa,49338,50002,49558,50072,53305,50455
00000,United States,47636,48607,49656,51167,53772,50167.6
10000,Delaware,47336,48341,49166,50033,52657,49506.6
50000,Vermont,47988,47860,48351,50815,52432,49489.2
44000,Rhode Island,46982,47021,47653,49696,53064,48883.2
39000,Ohio,46969,47958,48107,48896,52473,48880.6
48000,Texas,45536,47758,49189,50030,50822,48667
30000,Montana,45026,46241,47703,48664,53284,48183.6
47000,Tennessee,44389,45563,48415,49312,52187,47973.2
29000,Missouri,46200,46576,47398,48257,50999,47886
40000,Oklahoma,44413,46209,47822,49507,50759,47742
12000,Florida,44045,45928,47453,49813,51344,47716.6
18000,Indiana,45568,46794,46834,47875,51286,47671.4
32000,Nevada,44898,44897,47796,48520,51493,47520.8
26000,Michigan,45777,46664,46528,47012,50960,47388.2
23000,Maine,45388,45047,45633,48748,50726,47108.4
37000,North Carolina,43801,45245,46201,48343,51226,46963.2
22000,Louisiana,43518,45095,46967,47640,50413,46726.6
13000,Georgia,43355,44623,45753,47441,49696,46173.6
41000,Oregon,44620,44684,44726,46241,49746,46003.4
05000,Arkansas,43772,44864,46038,46061,48168,45780.6
45000,South Carolina,41961,43509,44305,46469,48686,44986
49000,Utah,41571,41382,44096,45595,49521,44433
21000,Kentucky,42231,42853,43633,44673,48175,44313
16000,Idaho,41565,41465,43618,45269,49109,44205.2
15000,Hawaii,42718,43744,43549,44666,45839,44103.2
01000,Alabama,41196,42274,44102,44695,47661,43985.6
04000,Arizona,40321,42048,43142,44834,47551,43579.2
54000,West Virginia,39750,41651,42818,44329,46738,43057.2
35000,New Mexico,39653,38965,41611,42785,46058,41814.4
28000,Mississippi,38871,39785,40734,41574,44912,41175.2
